Freq.	Id(M1)
5.46416102701768e+003	8.97358508201583e+001
5.50216727255907e+003	8.97365573978059e+001
5.54043787244380e+003	8.97372512954733e+001
5.57897466540172e+003	8.97379325789209e+001
5.61777950295209e+003	8.97386012752184e+001
5.65685424949248e+003	8.97392574135123e+001
5.69620078238839e+003	8.97399010227126e+001
5.73582099206341e+003	8.97405321378770e+001
5.77571678209009e+003	8.97411507893832e+001
5.81589006928135e+003	8.97417569881344e+001
5.85634278378261e+003	8.97423507898681e+001
5.89707686916451e+003	8.97429322196758e+001
5.93809428251631e+003	8.97435012941201e+001
5.97939699453987e+003	8.97440580421447e+001
6.02098698964438e+003	8.97446024969162e+001
6.06286626604171e+003	8.97451346741386e+001
6.10503683584235e+003	8.97456546125908e+001
6.14750072515217e+003	8.97461623315718e+001
6.19025997416968e+003	8.97466578506548e+001
6.23331663728412e+003	8.97471412091915e+001
6.27667278317413e+003	8.97476124081246e+001
6.32033049490714e+003	8.97480714822522e+001
6.36429187003947e+003	8.97485184501157e+001
6.40855902071710e+003	8.97489533435910e+001
6.45313407377714e+003	8.97493761769887e+001
6.49801917085001e+003	8.97497869604412e+001
6.54321646846238e+003	8.97501857269320e+001
6.58872813814071e+003	8.97505724920892e+001
6.63455636651566e+003	8.97509472691593e+001
6.68070335542709e+003	8.97513100828781e+001
6.72717132202985e+003	8.97516609481336e+001
6.77396249890035e+003	8.97519998869405e+001
6.82107913414379e+003	8.97523269082617e+001
6.86852349150217e+003	8.97526420264967e+001
6.91629785046306e+003	8.97529452594399e+001
6.96440450636913e+003	8.97532366262881e+001
7.01284577052842e+003	8.97535161355598e+001
7.06162397032538e+003	8.97537838005941e+001
7.11074144933271e+003	8.97540396366665e+001
7.16020056742393e+003	8.97542836618569e+001
7.21000370088679e+003	8.97545158771726e+001
7.26015324253744e+003	8.97547363003121e+001
7.31065160183536e+003	8.97549449369566e+001
7.36150120499915e+003	8.97551418012881e+001
7.41270449512312e+003	8.97553268968296e+001
7.46426393229462e+003	8.97555002440090e+001
7.51618199371225e+003	8.97556618412699e+001
7.56846117380493e+003	8.97558116983378e+001
7.62110398435166e+003	8.97559498299297e+001
7.67411295460228e+003	8.97560762275149e+001
7.72749063139893e+003	8.97561909087134e+001
7.78123957929845e+003	8.97562938762455e+001
7.83536238069558e+003	8.97563851341715e+001
7.88986163594704e+003	8.97564646960784e+001
7.94473996349646e+003	8.97565325391215e+001
8.00000000000017e+003	8.97565886983849e+001
8.05564440045392e+003	8.97566331556827e+001
8.11167583832041e+003	8.97566659252597e+001
8.16809700565772e+003	8.97566870058002e+001
8.22491061324871e+003	8.97566963942950e+001
8.28211939073120e+003	8.97566940940133e+001
8.33972608672916e+003	8.97566800970083e+001
8.39773346898472e+003	8.97566544167177e+001
8.45614432449123e+003	8.97566170467167e+001
8.51496145962707e+003	8.97565679761238e+001
8.57418770029054e+003	8.97565072190154e+001
8.63382589203561e+003	8.97564347556903e+001
8.69387890020866e+003	8.97563505911482e+001
8.75434961008612e+003	8.97562547244077e+001
8.81524092701309e+003	8.97561471427932e+001
8.87655577654296e+003	8.97560278465881e+001
8.93829710457797e+003	8.97558968288118e+001
9.00046787751068e+003	8.97557540865546e+001
9.06307108236660e+003	8.97555996043519e+001
9.12610972694760e+003	8.97554333845597e+001
9.18958683997649e+003	8.97552554143433e+001
9.25350547124252e+003	8.97550656809262e+001
9.31786869174786e+003	8.97548641782517e+001
9.38267959385525e+003	8.97546508987046e+001
9.44794129143646e+003	8.97544258371260e+001
9.51365692002199e+003	8.97541889739054e+001
9.57982963695165e+003	8.97539402999992e+001
9.64646262152631e+003	8.97536798022044e+001
9.71355907516061e+003	8.97534074749995e+001
9.78112222153678e+003	8.97531232949282e+001
9.84915530675957e+003	8.97528272526085e+001
9.91766159951213e+003	8.97525193471140e+001
9.98664439121314e+003	8.97521995374945e+001
1.00561069961749e+004	8.97518678302588e+001
1.01260527517625e+004	8.97515241956924e+001
1.01964850185543e+004	8.97511686240503e+001
1.02674071805035e+004	8.97508011002720e+001
1.03388226451002e+004	8.97504216035402e+001
1.04107348435357e+004	8.97500301103112e+001
1.04831472308672e+004	8.97496266152221e+001
1.05560632861834e+004	8.97492110841629e+001
1.06294865127724e+004	8.97487835089912e+001
1.07034204382892e+004	8.97483438628527e+001
1.07778686149258e+004	8.97478921258786e+001
1.08528346195816e+004	8.97474282769544e+001
1.09283220540354e+004	8.97469522903556e+001
1.10043345451182e+004	8.97464641473909e+001
