time	V(N141)*Id(M1)+V(N144)*Ig(M1)
3.550900952214258e-004	1.839939e+000
3.552102221833267e-004	1.850708e+000
3.554413854459024e-004	1.876038e+000
3.557893187426234e-004	1.921125e+000
3.564851853360652e-004	2.048961e+000
3.574617478360652e-004	2.365676e+000
3.583137191749339e-004	2.891039e+000
3.586639373581313e-004	3.330063e+000
3.588869618532166e-004	3.840709e+000
3.590206578411609e-004	4.337149e+000
3.591061334312761e-004	4.819814e+000
3.591714085254648e-004	5.322746e+000
3.592192454533412e-004	5.807414e+000
3.592642836724757e-004	6.458545e+000
3.593335920693655e-004	7.645124e+000
3.594071252866672e-004	8.783838e+000
3.594976693719278e-004	9.720173e+000
3.596344069519348e-004	9.390195e+000
3.598122886238247e-004	5.992879e+000
3.600000000000000e-004	3.283448e-001
3.600013029248543e-004	3.187703e-001
3.600039087745628e-004	3.027027e-001
3.600091204739798e-004	2.824142e-001
3.600155664661610e-004	2.706375e-001
3.600235501169750e-004	2.663073e-001
3.600328828415908e-004	2.665080e-001
3.600464890241915e-004	2.695827e-001
3.600665863637996e-004	2.751647e-001
3.601040968437174e-004	2.859081e-001
3.601791178035529e-004	3.071452e-001
3.603291597232240e-004	3.450087e-001
3.605217976253583e-004	3.713926e-001
3.606506397551271e-004	3.481633e-001
3.607684190392624e-004	2.698475e-001
3.609082655277473e-004	1.309743e-001
3.609658374605033e-004	7.975257e-002
3.610173862952523e-004	4.976946e-002
3.610781710112981e-004	2.809513e-002
3.611458070791625e-004	1.364217e-002
3.611779639499891e-004	9.573050e-003
3.612195298261527e-004	6.353893e-003
3.612553217670745e-004	4.440679e-003
3.612967892203717e-004	2.947820e-003
3.613340989932940e-004	2.032995e-003
3.613754916942011e-004	1.354436e-003
3.614166148102528e-004	8.991441e-004
3.614556289129373e-004	6.105638e-004
3.614962814174447e-004	4.083119e-004
3.615344288337896e-004	2.799481e-004
3.615754006460699e-004	1.868542e-004
3.616134303263233e-004	1.284640e-004
3.616568177146008e-004	8.456144e-005
3.617059618838522e-004	5.286011e-005
3.617666471207146e-004	2.970248e-005
3.618382898536496e-004	1.513346e-005
3.619343240744826e-004	6.231152e-006
3.620584602421438e-004	2.021511e-006
3.622566856121747e-004	3.627572e-007
3.625720657217725e-004	8.251966e-009
3.632028259409682e-004	1.270432e-009
3.641793884409682e-004	2.254660e-009
3.651559509409682e-004	2.149222e-009
3.661325134409682e-004	2.212975e-009
3.708312168779727e-004	2.138652e-009
3.755299203149773e-004	2.106326e-009
3.802286237519818e-004	2.115998e-009
3.849273271889864e-004	2.167669e-009
3.896260306259909e-004	2.261337e-009
3.943247340629955e-004	2.397004e-009
3.990234375000000e-004	2.574668e-009
4.000000000000000e-004	6.314107e-005
4.000021484392367e-004	-9.789994e-004
4.000064453177101e-004	1.598882e-003
4.000150390746569e-004	2.551998e-002
4.000206907928370e-004	6.171565e-002
4.000272173911796e-004	1.345781e-001
4.000362230425038e-004	2.925651e-001
4.000542343451524e-004	7.943157e-001
4.000854067056972e-004	2.241968e+000
4.001477514267868e-004	7.297612e+000
4.002724408689661e-004	2.519064e+001
4.005218197533246e-004	8.572938e+001
4.010205775220417e-004	2.335370e+002
4.013243155910692e-004	2.960052e+002
4.015531166623074e-004	2.841757e+002
4.017151901649045e-004	2.171332e+002
4.018250718586747e-004	1.339182e+002
4.018849051890213e-004	7.497756e+001
4.019204250783582e-004	3.743118e+001
4.019398757519956e-004	1.995194e+001
4.019542572109067e-004	1.165604e+001
4.019706366637573e-004	6.725940e+000
4.019835848907134e-004	4.803176e+000
4.019977317414146e-004	3.767644e+000
4.020134783441413e-004	3.185414e+000
4.020314801421696e-004	2.865384e+000
4.020524636681618e-004	2.697486e+000
4.020787457766689e-004	2.609278e+000
4.021132715758313e-004	2.560182e+000
4.021628194890970e-004	2.522461e+000
4.022413642085450e-004	2.477078e+000
4.023938559287892e-004	2.402410e+000
4.026988393692778e-004	2.284997e+000
4.033088062502549e-004	2.117559e+000
4.040904301624760e-004	1.974237e+000
