rload	V(OUT)*I(R3)	V(out)	I(R3)
Step Information: Ifail=1  (Run: 1/4)
1.584893192461149e-014	1.275729e-012	1.421933e-013	8.971791e+000
1.659586907437598e-014	1.335852e-012	1.488947e-013	8.971791e+000
1.737800828749414e-014	1.398809e-012	1.559119e-013	8.971791e+000
1.819700858610024e-014	1.464732e-012	1.632598e-013	8.971791e+000
1.905460717963290e-014	1.533763e-012	1.709539e-013	8.971791e+000
1.995262314968925e-014	1.606047e-012	1.790108e-013	8.971791e+000
2.089296130854087e-014	1.681738e-012	1.874473e-013	8.971791e+000
2.187761623949603e-014	1.760996e-012	1.962814e-013	8.971791e+000
2.290867652767826e-014	1.843989e-012	2.055319e-013	8.971791e+000
2.398832919019546e-014	1.930893e-012	2.152183e-013	8.971791e+000
2.511886431509638e-014	2.021894e-012	2.253612e-013	8.971791e+000
2.630267991895443e-014	2.117182e-012	2.359821e-013	8.971791e+000
2.754228703338230e-014	2.216962e-012	2.471036e-013	8.971791e+000
2.884031503126673e-014	2.321444e-012	2.587493e-013	8.971791e+000
3.019951720402087e-014	2.430851e-012	2.709437e-013	8.971791e+000
3.162277660168453e-014	2.545413e-012	2.837129e-013	8.971791e+000
3.311311214825989e-014	2.665375e-012	2.970839e-013	8.971791e+000
3.467368504525398e-014	2.790990e-012	3.110851e-013	8.971791e+000
3.630780547701100e-014	2.922526e-012	3.257460e-013	8.971791e+000
3.801893963205702e-014	3.060260e-012	3.410980e-013	8.971791e+000
3.981071705535067e-014	3.204486e-012	3.571734e-013	8.971791e+000
4.168693834703453e-014	3.355508e-012	3.740065e-013	8.971791e+000
4.365158322401764e-014	3.513648e-012	3.916329e-013	8.971791e+000
4.570881896148860e-014	3.679242e-012	4.100900e-013	8.971791e+000
4.786300923226498e-014	3.852639e-012	4.294169e-013	8.971791e+000
5.011872336272844e-014	4.034208e-012	4.496547e-013	8.971791e+000
5.248074602497853e-014	4.224335e-012	4.708463e-013	8.971791e+000
5.495408738576379e-014	4.423421e-012	4.930366e-013	8.971791e+000
5.754399373371709e-014	4.631891e-012	5.162727e-013	8.971791e+000
6.025595860743724e-014	4.850185e-012	5.406039e-013	8.971791e+000
6.309573444802087e-014	5.078767e-012	5.660817e-013	8.971791e+000
6.606934480076123e-014	5.318122e-012	5.927603e-013	8.971791e+000
6.918309709189536e-014	5.568757e-012	6.206963e-013	8.971791e+000
7.244359600750081e-014	5.831205e-012	6.499488e-013	8.971791e+000
7.585775750292027e-014	6.106021e-012	6.805799e-013	8.971791e+000
7.943282347243014e-014	6.393789e-012	7.126547e-013	8.971791e+000
8.317637711026919e-014	6.695119e-012	7.462411e-013	8.971791e+000
8.709635899561026e-014	7.010650e-012	7.814103e-013	8.971791e+000
9.120108393559328e-014	7.341052e-012	8.182371e-013	8.971791e+000
9.549925860214602e-014	7.687025e-012	8.567994e-013	8.971791e+000
1.000000000000025e-013	8.049303e-012	8.971791e-013	8.971791e+000
1.047128548050926e-013	8.428655e-012	9.394618e-013	8.971791e+000
1.096478196143213e-013	8.825886e-012	9.837373e-013	8.971791e+000
1.148153621496912e-013	9.241837e-012	1.030099e-012	8.971791e+000
1.202264434617444e-013	9.677391e-012	1.078647e-012	8.971791e+000
1.258925411794200e-013	1.013347e-011	1.129482e-012	8.971791e+000
1.318256738556441e-013	1.061105e-011	1.182712e-012	8.971791e+000
1.380384264602921e-013	1.111113e-011	1.238452e-012	8.971791e+000
1.445439770745965e-013	1.163478e-011	1.296818e-012	8.971791e+000
1.513561248436248e-013	1.218311e-011	1.357935e-012	8.971791e+000
1.584893192461155e-013	1.275729e-011	1.421933e-012	8.971791e+000
1.659586907437604e-013	1.335852e-011	1.488947e-012	8.971791e+000
1.737800828749421e-013	1.398809e-011	1.559119e-012	8.971791e+000
1.819700858610031e-013	1.464732e-011	1.632598e-012	8.971791e+000
1.905460717963298e-013	1.533763e-011	1.709540e-012	8.971791e+000
1.995262314968933e-013	1.606047e-011	1.790108e-012	8.971791e+000
2.089296130854095e-013	1.681738e-011	1.874473e-012	8.971791e+000
2.187761623949611e-013	1.760996e-011	1.962814e-012	8.971791e+000
2.290867652767834e-013	1.843989e-011	2.055319e-012	8.971791e+000
2.398832919019554e-013	1.930893e-011	2.152183e-012	8.971791e+000
2.511886431509647e-013	2.021894e-011	2.253612e-012	8.971791e+000
2.630267991895452e-013	2.117183e-011	2.359822e-012	8.971791e+000
2.754228703338240e-013	2.216962e-011	2.471036e-012	8.971791e+000
2.884031503126683e-013	2.321444e-011	2.587493e-012	8.971791e+000
3.019951720402098e-013	2.430851e-011	2.709437e-012	8.971791e+000
3.162277660168465e-013	2.545413e-011	2.837129e-012	8.971791e+000
3.311311214826001e-013	2.665375e-011	2.970839e-012	8.971791e+000
3.467368504525411e-013	2.790990e-011	3.110851e-012	8.971791e+000
3.630780547701112e-013	2.922526e-011	3.257460e-012	8.971791e+000
3.801893963205716e-013	3.060260e-011	3.410980e-012	8.971791e+000
3.981071705535081e-013	3.204485e-011	3.571734e-012	8.971791e+000
4.168693834703468e-013	3.355508e-011	3.740065e-012	8.971791e+000
4.365158322401779e-013	3.513648e-011	3.916329e-012	8.971791e+000
4.570881896148876e-013	3.679242e-011	4.100900e-012	8.971791e+000
4.786300923226515e-013	3.852639e-011	4.294169e-012	8.971791e+000
5.011872336272861e-013	4.034208e-011	4.496547e-012	8.971791e+000
5.248074602497871e-013	4.224335e-011	4.708463e-012	8.971791e+000
5.495408738576398e-013	4.423421e-011	4.930366e-012	8.971791e+000
5.754399373371730e-013	4.631891e-011	5.162727e-012	8.971791e+000
6.025595860743747e-013	4.850185e-011	5.406038e-012	8.971791e+000
6.309573444802110e-013	5.078767e-011	5.660817e-012	8.971791e+000
6.606934480076147e-013	5.318122e-011	5.927603e-012	8.971791e+000
