V(out)	I(R_load)	power
9.464025e-011	8.631293e+000	8.16867645e-10	
9.910051e-011	8.631293e+000	8.55365508e-10	
1.037710e-010	8.631293e+000	8.9567836e-10	
1.086615e-010	8.631293e+000	9.378892e-10	
1.137826e-010	8.631293e+000	9.8209138e-10	
1.191450e-010	8.631293e+000	1.0283758e-9	
1.247601e-010	8.631293e+000	1.07684122e-9	
1.306399e-010	8.631293e+000	1.12759167e-9	
1.367968e-010	8.631293e+000	1.18073387e-9	
1.432438e-010	8.631293e+000	1.23637973e-9	
1.499947e-010	8.631293e+000	1.29464781e-9	
1.570637e-010	8.631293e+000	1.35566321e-9	
1.644659e-010	8.631293e+000	1.41955368e-9	
1.722169e-010	8.631293e+000	1.4864549e-9	
1.803333e-010	8.631293e+000	1.55650908e-9	
1.888321e-010	8.631293e+000	1.62986505e-9	
1.977315e-010	8.631293e+000	1.70667824e-9	
2.070503e-010	8.631293e+000	1.78711194e-9	
2.168083e-010	8.631293e+000	1.87133606e-9	
2.270261e-010	8.631293e+000	1.9595284e-9	
2.377256e-010	8.631293e+000	2.05187859e-9	
2.489292e-010	8.631293e+000	2.14858025e-9	
2.606609e-010	8.631293e+000	2.24984016e-9	
2.729455e-010	8.631293e+000	2.35587299e-9	
2.858090e-010	8.631293e+000	2.46690132e-9	
2.992787e-010	8.631293e+000	2.5831622e-9	
3.133833e-010	8.631293e+000	2.70490326e-9	
3.281526e-010	8.631293e+000	2.8323813e-9	
3.436180e-010	8.631293e+000	2.96586763e-9	
3.598122e-010	8.631293e+000	3.1056441e-9	
3.767696e-010	8.631293e+000	3.25200838e-9	
3.945262e-010	8.631293e+000	3.40527124e-9	
4.131197e-010	8.631293e+000	3.5657567e-9	
4.325894e-010	8.631293e+000	3.73380588e-9	
4.529767e-010	8.631293e+000	3.90977435e-9	
4.743249e-010	8.631293e+000	4.09403749e-9	
4.966791e-010	8.631293e+000	4.2869825e-9	
5.200869e-010	8.631293e+000	4.48902292e-9	
5.445978e-010	8.631293e+000	4.70058284e-9	
5.702639e-010	8.631293e+000	4.922114e-9	
5.971396e-010	8.631293e+000	5.15408656e-9	
6.252819e-010	8.631293e+000	5.3969905e-9	
6.547506e-010	8.631293e+000	5.6513447e-9	
6.856080e-010	8.631293e+000	5.91768388e-9	
7.179197e-010	8.631293e+000	6.19657567e-9	
7.517542e-010	8.631293e+000	6.48861012e-9	
7.871833e-010	8.631293e+000	6.79440886e-9	
8.242821e-010	8.631293e+000	7.11461986e-9	
8.631293e-010	8.631293e+000	7.4499214e-9	
9.038074e-010	8.631293e+000	7.801026e-9	
9.464025e-010	8.631293e+000	8.16867645e-9	
9.910051e-010	8.631293e+000	8.55365508e-9	
1.037710e-009	8.631293e+000	8.9567836e-9	
1.086615e-009	8.631293e+000	9.378892e-9	
1.137826e-009	8.631293e+000	9.8209138e-9	
1.191450e-009	8.631293e+000	1.0283758e-8	
1.247601e-009	8.631293e+000	1.07684122e-8	
1.306399e-009	8.631293e+000	1.12759167e-8	
1.367968e-009	8.631293e+000	1.18073387e-8	
1.432438e-009	8.631293e+000	1.23637973e-8	
1.499947e-009	8.631293e+000	1.29464781e-8	
1.570637e-009	8.631293e+000	1.35566321e-8	
1.644659e-009	8.631293e+000	1.41955368e-8	
1.722170e-009	8.631293e+000	1.4864549e-8	
1.803333e-009	8.631293e+000	1.55650908e-8	
1.888321e-009	8.631293e+000	1.62986505e-8	
1.977315e-009	8.631293e+000	1.70667824e-8	
2.070503e-009	8.631293e+000	1.78711194e-8	
2.168083e-009	8.631293e+000	1.87133606e-8	
2.270262e-009	8.631293e+000	1.95952971e-8	
2.377256e-009	8.631293e+000	2.05187859e-8	
2.489292e-009	8.631293e+000	2.14858025e-8	
2.606609e-009	8.631293e+000	2.24984016e-8	
2.729455e-009	8.631293e+000	2.35587299e-8	
2.858090e-009	8.631293e+000	2.46690132e-8	
2.992788e-009	8.631293e+000	2.58316353e-8	
3.133833e-009	8.631293e+000	2.70490326e-8	
3.281526e-009	8.631293e+000	2.8323813e-8	
3.436180e-009	8.631293e+000	2.96586763e-8	
3.598122e-009	8.631293e+000	3.1056441e-8	
3.767696e-009	8.631293e+000	3.25200838e-8	
3.945262e-009	8.631293e+000	3.40527124e-8	
4.131197e-009	8.631293e+000	3.5657567e-8	
4.325894e-009	8.631293e+000	3.73380588e-8	
