V(out)	power output	
1.723148e-011	1.70861824e-10	
1.804357e-011	1.7891423e-10	
1.889394e-011	1.87346251e-10	
1.978439e-011	1.96175742e-10	
2.071679e-011	2.05421158e-10	
2.169315e-011	2.15102322e-10	
2.271551e-011	2.25239812e-10	
2.378606e-011	2.35854959e-10	
2.490707e-011	2.4697061e-10	
2.608090e-011	2.58609917e-10	
2.731006e-011	2.70797841e-10	
2.859714e-011	2.83560104e-10	
2.994488e-011	2.96923943e-10	
3.135614e-011	3.10917497e-10	
3.283391e-011	3.25570573e-10	
3.438132e-011	3.40914188e-10	
3.600166e-011	3.56981024e-10	
3.769837e-011	3.73804971e-10	
3.947504e-011	3.91421887e-10	
4.133544e-011	4.09868996e-10	
4.328352e-011	4.29185631e-10	
4.532341e-011	4.49412495e-10	
4.745944e-011	4.7059271e-10	
4.969613e-011	4.92771059e-10	
5.203824e-011	5.15994595e-10	
5.449072e-011	5.40312648e-10	
5.705879e-011	5.65776807e-10	
5.974789e-011	5.92441087e-10	
6.256372e-011	6.20361925e-10	
6.551226e-011	6.4959863e-10	
6.859976e-011	6.80213387e-10	
7.183276e-011	7.12270802e-10	
7.521814e-011	7.45839111e-10	
7.876306e-011	7.80989427e-10	
8.247505e-011	8.17796342e-10	
8.636197e-011	8.56337773e-10	
9.043209e-011	8.96695729e-10	
9.469402e-011	9.38955693e-10	
9.915681e-011	9.83207387e-10	
1.038299e-010	1.02954477e-9	
1.087233e-010	1.07806557e-9	
1.138473e-010	1.12887405e-9	
1.192127e-010	1.18207462e-9	
1.248310e-010	1.23778375e-9	
1.307141e-010	1.29611948e-9	
1.368745e-010	1.35720435e-9	
1.433252e-010	1.42116698e-9	
1.500799e-010	1.48814503e-9	
1.571530e-010	1.55827924e-9	
1.645594e-010	1.63171785e-9	
1.723148e-010	1.70861824e-9	
1.804357e-010	1.7891423e-9	
1.889394e-010	1.87346251e-9	
1.978439e-010	1.96175742e-9	
2.071679e-010	2.05421158e-9	
2.169315e-010	2.15102322e-9	
2.271551e-010	2.25239812e-9	
2.378606e-010	2.35854959e-9	
2.490707e-010	2.4697061e-9	
2.608090e-010	2.58609917e-9	
2.731005e-010	2.7079769e-9	
2.859714e-010	2.83560104e-9	
2.994488e-010	2.96923943e-9	
3.135614e-010	3.10917497e-9	
3.283391e-010	3.25570573e-9	
3.438132e-010	3.40914188e-9	
3.600166e-010	3.56981024e-9	
3.769837e-010	3.73804971e-9	
3.947504e-010	3.91421887e-9	
4.133544e-010	4.09868996e-9	
4.328352e-010	4.29185631e-9	
4.532341e-010	4.49412495e-9	
4.745944e-010	4.7059271e-9	
4.969613e-010	4.92771059e-9	
5.203823e-010	5.15994444e-9	
5.449072e-010	5.40312648e-9	
5.705879e-010	5.65776807e-9	
5.974789e-010	5.92441087e-9	
6.256372e-010	6.20361925e-9	
6.551226e-010	6.4959863e-9	
6.859975e-010	6.80213235e-9	
7.183276e-010	7.12270802e-9	
7.521814e-010	7.45839111e-9	
7.876306e-010	7.80989427e-9	
8.247505e-010	8.17796342e-9	
8.636198e-010	8.56337926e-9	
9.043209e-010	8.96695729e-9	
9.469402e-010	9.38955693e-9	
9.915682e-010	9.83207387e-9	
1.038299e-009	1.02954477e-8	
1.087233e-009	1.07806557e-8	
1.138473e-009	1.12887405e-8	
1.192127e-009	1.18207462e-8	
1.248310e-009	1.23778375e-8	
1.307141e-009	1.29611948e-8	
1.368745e-009	1.35720435e-8	
