V(out)	I(R3)	power
8.318192e-033	5.888829e+000	4.898441e-032	
8.811076e-033	5.888829e+000	5.188692e-032	
9.333165e-033	5.888829e+000	5.496141e-032	
9.886190e-033	5.888829e+000	5.821808e-032	
1.047198e-032	5.888829e+000	6.166772e-032	
1.109249e-032	5.888829e+000	6.532176e-032	
1.174976e-032	5.888829e+000	6.919231e-032	
1.244598e-032	5.888829e+000	7.329222e-032	
1.318345e-032	5.888829e+000	7.763505e-032	
1.396461e-032	5.888829e+000	8.223522e-032	
1.479207e-032	5.888829e+000	8.710797e-032	
1.566856e-032	5.888829e+000	9.226944e-032	
1.659698e-032	5.888829e+000	9.773674e-032	
1.758041e-032	5.888829e+000	1.035280e-031	
1.862211e-032	5.888829e+000	1.096624e-031	
1.972554e-032	5.888829e+000	1.161603e-031	
2.089435e-032	5.888829e+000	1.230433e-031	
2.213242e-032	5.888829e+000	1.303340e-031	
2.344385e-032	5.888829e+000	1.380568e-031	
2.483299e-032	5.888829e+000	1.462372e-031	
2.630443e-032	5.888829e+000	1.549023e-031	
2.786307e-032	5.888829e+000	1.640808e-031	
2.951406e-032	5.888829e+000	1.738032e-031	
3.126288e-032	5.888829e+000	1.841017e-031	
3.311532e-032	5.888829e+000	1.950104e-031	
3.507752e-032	5.888829e+000	2.065655e-031	
3.715600e-032	5.888829e+000	2.188053e-031	
3.935763e-032	5.888829e+000	2.317703e-031	
4.168972e-032	5.888829e+000	2.455036e-031	
4.415999e-032	5.888829e+000	2.600506e-031	
4.677663e-032	5.888829e+000	2.754596e-031	
4.954832e-032	5.888829e+000	2.917816e-031	
5.248424e-032	5.888829e+000	3.090707e-031	
5.559413e-032	5.888829e+000	3.273843e-031	
5.888829e-032	5.888829e+000	3.467830e-031	
6.237764e-032	5.888829e+000	3.673312e-031	
6.607375e-032	5.888829e+000	3.890970e-031	
6.998886e-032	5.888829e+000	4.121524e-031	
7.413597e-032	5.888829e+000	4.365740e-031	
7.852879e-032	5.888829e+000	4.624426e-031	
8.318192e-032	5.888829e+000	4.898441e-031	
8.811076e-032	5.888829e+000	5.188692e-031	
9.333165e-032	5.888829e+000	5.496141e-031	
9.886190e-032	5.888829e+000	5.821808e-031	
1.047198e-031	5.888829e+000	6.166772e-031	
1.109249e-031	5.888829e+000	6.532175e-031	
1.174976e-031	5.888829e+000	6.919232e-031	
1.244598e-031	5.888829e+000	7.329222e-031	
1.318345e-031	5.888829e+000	7.763505e-031	
1.396461e-031	5.888829e+000	8.223522e-031	
1.479207e-031	5.888829e+000	8.710796e-031	
1.566855e-031	5.888829e+000	9.226943e-031	
1.659698e-031	5.888829e+000	9.773674e-031	
1.758041e-031	5.888829e+000	1.035280e-030	
1.862211e-031	5.888829e+000	1.096624e-030	
1.972554e-031	5.888829e+000	1.161603e-030	
2.089435e-031	5.888829e+000	1.230433e-030	
2.213242e-031	5.888829e+000	1.303340e-030	
2.344385e-031	5.888829e+000	1.380568e-030	
