time	V(out)
7.002176261012945e-004	4.617207e+001
7.004122466809055e-004	4.617207e+001
7.008014878401275e-004	4.617207e+001
7.015799701585715e-004	4.617207e+001
7.025565326585715e-004	4.585947e+001
7.029593867521253e-004	4.482441e+001
7.032162226293808e-004	4.264541e+001
7.034043694645038e-004	3.895698e+001
7.035784628845860e-004	3.244988e+001
7.037587195551880e-004	2.196350e+001
7.038749233828015e-004	1.303138e+001
7.039457285083719e-004	6.838984e+000
7.039851726080512e-004	3.596208e+000
7.040118414049948e-004	1.884174e+000
7.040375786390430e-004	6.752217e-001
7.040473915434296e-004	3.978429e-001
7.040575290988453e-004	2.750148e-001
7.040626512173884e-004	2.433320e-001
7.040696493687274e-004	2.188494e-001
7.040769264051973e-004	2.025001e-001
7.040852290416106e-004	1.911858e-001
7.040948299027271e-004	1.834731e-001
7.041057133001777e-004	1.785955e-001
7.041213602121893e-004	1.748052e-001
7.041360002194983e-004	1.728298e-001
7.041652802341163e-004	1.704072e-001
7.041947647271099e-004	1.684719e-001
7.042537337130971e-004	1.650966e-001
7.043439122101028e-004	1.605124e-001
7.045242692041142e-004	1.525580e-001
7.046392860119772e-004	1.481938e-001
7.047699663842740e-004	1.440425e-001
7.050000000000000e-004	1.378589e-001
7.050230033615726e-004	1.374768e-001
7.050690100847178e-004	1.372095e-001
7.051610235310082e-004	1.371634e-001
7.052621953108950e-004	1.371680e-001
7.054645388706684e-004	1.371654e-001
7.058692259902154e-004	1.371662e-001
7.066786002293093e-004	1.371659e-001
7.076551627293093e-004	1.371659e-001
7.086317252293093e-004	1.371659e-001
7.096082877293093e-004	1.371659e-001
7.105848502293093e-004	1.371659e-001
7.115614127293093e-004	1.371659e-001
7.125379752293093e-004	1.371659e-001
7.135145377293093e-004	1.371659e-001
7.144911002293093e-004	1.371659e-001
7.154676627293093e-004	1.371659e-001
7.164442252293093e-004	1.371659e-001
7.174207877293093e-004	1.371659e-001
7.183973502293093e-004	1.371659e-001
7.193739127293093e-004	1.371659e-001
7.203504752293093e-004	1.371659e-001
7.213270377293093e-004	1.371659e-001
7.223036002293093e-004	1.371659e-001
7.232801627293093e-004	1.371659e-001
7.242567252293093e-004	1.371659e-001
7.252332877293093e-004	1.371659e-001
7.262098502293093e-004	1.371659e-001
7.271864127293093e-004	1.371659e-001
7.281629752293093e-004	1.371659e-001
7.291395377293093e-004	1.371659e-001
7.301161002293093e-004	1.371659e-001
7.310926627293093e-004	1.371659e-001
7.320692252293093e-004	1.371659e-001
7.330457877293093e-004	1.371659e-001
7.340223502293093e-004	1.371659e-001
7.349989127293093e-004	1.371659e-001
7.359754752293093e-004	1.371659e-001
7.369520377293093e-004	1.371659e-001
7.379286002293093e-004	1.371659e-001
7.389051627293093e-004	1.371659e-001
7.398817252293093e-004	1.371659e-001
7.408582877293093e-004	1.371659e-001
7.418348502293093e-004	1.371659e-001
7.428114127293093e-004	1.371659e-001
7.437879752293093e-004	1.371659e-001
7.447645377293093e-004	1.371659e-001
7.457411002293093e-004	1.371659e-001
7.467176627293093e-004	1.371659e-001
7.476942252293093e-004	1.371659e-001
7.486707877293093e-004	1.371659e-001
7.496473502293093e-004	1.371659e-001
7.506239127293093e-004	1.371659e-001
7.516004752293093e-004	1.371659e-001
7.525770377293093e-004	1.371659e-001
7.535536002293093e-004	1.371659e-001
7.540234375000000e-004	1.371659e-001
7.540603254586186e-004	1.371659e-001
7.541341013758557e-004	1.371659e-001
7.542816532103299e-004	1.371659e-001
7.545767568792783e-004	1.371659e-001
7.550000000000000e-004	1.371663e-001
7.550423243120723e-004	1.379744e-001
7.551269729362166e-004	1.400305e-001
7.552962701845052e-004	1.451848e-001
7.555754185751200e-004	1.572523e-001
7.560839941882264e-004	1.936041e-001
7.564208431444258e-004	2.381486e-001
7.565792319158806e-004	2.788284e-001
7.566780953649851e-004	3.245731e-001
7.567389106665301e-004	3.739628e-001
7.567812474960062e-004	4.405585e-001
7.568182382634961e-004	5.571132e-001
7.568631959280273e-004	8.125302e-001
7.569267539876709e-004	1.382472e+000
7.569844850176628e-004	2.144297e+000
7.570209381799576e-004	2.847996e+000
7.570597544179898e-004	3.866038e+000
7.571002305240608e-004	5.205594e+000
7.571720012622605e-004	8.049780e+000
7.572454457923305e-004	1.146038e+001
7.573743928049891e-004	1.833320e+001
7.575595635083915e-004	2.889721e+001
7.577747324105352e-004	4.017904e+001
7.579175269950199e-004	4.466702e+001
7.580929723476379e-004	4.614455e+001
7.582312709293174e-004	4.618708e+001
7.583850527749878e-004	4.616529e+001
7.585817959147319e-004	4.617351e+001
7.588260457391646e-004	4.617092e+001
7.592015952749010e-004	4.617175e+001
7.594873283572494e-004	4.617146e+001
7.600000000000000e-004	4.617015e+001
7.600011658103002e-004	4.617023e+001
7.600034974309007e-004	4.617036e+001
7.600071508201142e-004	4.617052e+001
7.600098378895426e-004	4.617063e+001
7.600123645398018e-004	4.617072e+001
7.600151266114373e-004	4.617082e+001
7.600180710179770e-004	4.617091e+001
7.600208485767638e-004	4.617099e+001
7.600235485104019e-004	4.617106e+001
7.600264042055047e-004	4.617113e+001
7.600291293767069e-004	4.617119e+001
7.600320640235969e-004	4.617125e+001
7.600347689058892e-004	4.617130e+001
7.600378001929015e-004	4.617136e+001
7.600404544017363e-004	4.617140e+001
7.600436434229843e-004	4.617145e+001
7.600461847625231e-004	4.617148e+001
7.600496075746273e-004	4.617152e+001
7.600523784737596e-004	4.617155e+001
7.600559394570219e-004	4.617159e+001
7.600591348710063e-004	4.617162e+001
7.600628531185771e-004	4.617166e+001
7.600665515764279e-004	4.617168e+001
7.600705054090696e-004	4.617171e+001
7.600746134953962e-004	4.617174e+001
7.600788514600333e-004	4.617176e+001
7.600832196292746e-004	4.617178e+001
7.600876537351865e-004	4.617180e+001
7.600923930457008e-004	4.617181e+001
7.600967864823725e-004	4.617183e+001
7.601014471392640e-004	4.617184e+001
7.601057555096890e-004	4.617185e+001
7.601104123361696e-004	4.617186e+001
7.601149050100474e-004	4.617187e+001
7.601197561547359e-004	4.617188e+001
7.601246306156266e-004	4.617189e+001
7.601299504367931e-004	4.617189e+001
7.601354263434273e-004	4.617190e+001
7.601415327110507e-004	4.617191e+001
7.601479013099868e-004	4.617191e+001
7.601551811279963e-004	4.617191e+001
7.601628266744042e-004	4.617192e+001
7.601717866531752e-004	4.617192e+001
7.601812130835127e-004	4.617192e+001
7.601925398932183e-004	4.617192e+001
7.602044203456953e-004	4.617193e+001
7.602190348259317e-004	4.617193e+001
